complex_name,graph_file,sha256,nodes,local_edges,line_nodes,line_edges,coulomb_nodes,coulomb_edges
A71EV2A-x3621a,processed/A71EV2A-x3621a.bin,d0f5e46cb33937597a00b850f4aff0c5a3e08c13898c5a8e3096fc2ccea30609,17,204,204,2448,17,272
A71EV2A-x3623a,processed/A71EV2A-x3623a.bin,d06a76f31e6f28b2171b564830c2ebb20a2b880f5071ed0f75c3ca090fb2854b,20,238,238,2843,20,380
A71EV2A-x3634a,processed/A71EV2A-x3634a.bin,f0b00ba08d4551ebe2a24f0b9cc7f19eebffd713ef0377408dcf247ceef9db2e,20,239,239,2862,20,380
A71EV2A-x3663a,processed/A71EV2A-x3663a.bin,ccfff571dbfb95c102c4c0291b3882883c0fbd8134f528f572cd79a59f83a1ce,20,240,240,2880,20,380
A71EV2A-x3665a,processed/A71EV2A-x3665a.bin,04edc0e279445d3fba2742215c7ee6342e14f95e1b128d56cd2b1756a48f58f5,22,264,264,3168,22,462
A71EV2A-x3685a,processed/A71EV2A-x3685a.bin,fcd4a88f179838ea5cfaf2640ecbac6bb28f621ab14fac2c483fc420b8e1fd97,20,240,240,2880,20,380
A71EV2A-x3694a,processed/A71EV2A-x3694a.bin,cf8d2fa03dcc199ea20c762626e9e4929b18cd508be114bc2605de27b0e3e1ee,20,239,239,2862,20,380
A71EV2A-x3694b,processed/A71EV2A-x3694b.bin,d086be68fafcf1bd83835fe349efc9ce5b999d6ea6fc1d94f50c5cfddfae9af7,20,239,239,2862,20,380
A71EV2A-x3706a,processed/A71EV2A-x3706a.bin,4380d6f4f2564cada52fc197a4ae2e6a4b267077be7671b48b0560dd88a16b54,20,240,240,2880,20,380
A71EV2A-x3706b,processed/A71EV2A-x3706b.bin,09174862e3ac6cc2a3acf041d9ff09dcb5dcd9d123ef5f640cf1729074e0c7f1,20,240,240,2880,20,380
A71EV2A-x3521a,processed/A71EV2A-x3521a.bin,f77c89ec4f6d86394fd73e0be30a8355c3825bdbe1ad8ede243475135eda7d2b,23,276,276,3312,23,506
A71EV2A-x3522a,processed/A71EV2A-x3522a.bin,63915076567d5b6548d38f54184b72259a479d8682d0cdc4af96ff99eb01e37d,22,264,264,3168,22,462
A71EV2A-x3522b,processed/A71EV2A-x3522b.bin,12fdb109f8b728562a9d8337bc559c55fc6cc6b3e250ec51472c37272520b2c2,22,264,264,3168,22,462
A71EV2A-x3546a,processed/A71EV2A-x3546a.bin,207fb879032cbb16825e68ca4261db8381507514667c242c5ff9d23e6793c077,21,252,252,3024,21,420
A71EV2A-x3548a,processed/A71EV2A-x3548a.bin,a060b229dfd8ed94036a19a64a338308a4ebaed5e734231ed9258f5d73fcc6c0,20,240,240,2880,20,380
A71EV2A-x3550a,processed/A71EV2A-x3550a.bin,e9454815019be34c6e2aeb758537c1560e4709e8a3d48f90c18986d9fb1ca058,21,252,252,3024,21,420
A71EV2A-x3556a,processed/A71EV2A-x3556a.bin,e0d808a866c228f350b6745b2bd146bff7350e658d7b70525006740af5c2a206,21,252,252,3024,21,420
A71EV2A-x3557a,processed/A71EV2A-x3557a.bin,51c17ca861dcd17f02619d8006bae49265e1c32059daea709a85213877db996a,22,264,264,3168,22,462
A71EV2A-x3557b,processed/A71EV2A-x3557b.bin,4c6328b8d40d2ef92674ffbe37f83a97fbeae9803c012d58e7a3ae52f482da5f,22,264,264,3168,22,462
A71EV2A-x3564a,processed/A71EV2A-x3564a.bin,e28fe9060439be10ba1256ff299683de6d806e11a7ee3e1e98d1a8341c57bd83,19,228,228,2736,19,342
A71EV2A-x3568a,processed/A71EV2A-x3568a.bin,44f48853f8fd7749fb4bfc7a2dba840ad4645ef06a7bbd0860303380b5bbd480,20,239,239,2861,20,380
A71EV2A-x3571a,processed/A71EV2A-x3571a.bin,bb7511564d866e3a7407d8aa805bbbc6598ee7b92d136d3fc898373d3b826ed4,21,252,252,3024,21,420
A71EV2A-x3571b,processed/A71EV2A-x3571b.bin,556ba9296f3b7ba1c814cf9c12bcc497bc6bf040b623d46826aa6f92cab8333e,21,252,252,3024,21,420
A71EV2A-x3849a,processed/A71EV2A-x3849a.bin,987569f81ab226b9b6aa5954735ad6e9dc137d3e1e46d4bc2d79d99be6ed2953,20,239,239,2862,20,380
A71EV2A-x3858a,processed/A71EV2A-x3858a.bin,b047d4163c5b5b5c827b43b7c0f32bccc5e99e43529bcb392d135529fe3e5cb5,21,251,251,3006,21,420
A71EV2A-x3858b,processed/A71EV2A-x3858b.bin,7f6af83cbcf81db4aef608ed10489e3d975b0c08d065fb6ab91da6962e9892a4,21,251,251,3006,21,420
A71EV2A-x3862a,processed/A71EV2A-x3862a.bin,83da66007a9622f353a3bc419bbe3f227342d100de5f1d42527ed22560d5fc7b,22,264,264,3168,22,462
A71EV2A-x3867a,processed/A71EV2A-x3867a.bin,a75e09c8b78afff5fa486706dbfc87e25fb34439d40f7328b7cddfd2968fbb0c,20,240,240,2880,20,380
A71EV2A-x3869a,processed/A71EV2A-x3869a.bin,b5d814589119a741edb4128bf7c2f54b5b10486c10863662ccdd106b7a07eb7e,20,239,239,2862,20,380
A71EV2A-x3883a,processed/A71EV2A-x3883a.bin,ffe4b93c59bd47008bd1a8dbd976c198406ca307768b26d79a181cb945c7934a,22,264,264,3168,22,462
A71EV2A-x3884a,processed/A71EV2A-x3884a.bin,d0c9ab71d5db14ab0fccd6b0fc3d7ddb36a5352600bf9fa7b0521af93eb53a1c,28,336,336,4032,28,756
A71EV2A-x3884b,processed/A71EV2A-x3884b.bin,8a89dfede1e8660bf6cad973d9b7fe4f2b591fbaa67656222e1cba9f9b397ea5,28,336,336,4032,28,756
A71EV2A-x3890a,processed/A71EV2A-x3890a.bin,1769291458516e96ac894dd3f48c75c387136cc71a84e9b3afb1f20820b01cc1,21,252,252,3024,21,420
A71EV2A-x3895a,processed/A71EV2A-x3895a.bin,69c5c98e522b0b3413c11bc33b500bce3268896c20fe70b3753e8570335f4cd7,18,216,216,2592,18,306
A71EV2A-x3901a,processed/A71EV2A-x3901a.bin,22be2ad56d2077e64e62c990e9359fed0fc34ccbaef4c926e0272decb64b4896,20,240,240,2880,20,380
A71EV2A-x3908a,processed/A71EV2A-x3908a.bin,5a61e2f0b52895892aa2e89681519982cea080f1fdd791d3ca385fde393d0887,28,336,336,4032,28,756
A71EV2A-x3914a,processed/A71EV2A-x3914a.bin,23162cad351b6eecc660239e662f59736f833188de689d0b57ee964b185dd79d,22,264,264,3168,22,462
A71EV2A-x3936a,processed/A71EV2A-x3936a.bin,21f0d3737e7d1220bde2b43f21743f3f791a6dcea2c3ff7f3d54eefe518195e0,20,240,240,2880,20,380
A71EV2A-x3937a,processed/A71EV2A-x3937a.bin,6915dc5fe519cab9da4aa872a05128ec5d7192467fed3929e8a6c093a1197861,20,240,240,2880,20,380
A71EV2A-x3939a,processed/A71EV2A-x3939a.bin,e3e945d24d5f10b15bd341cf0ffd345c7f5dfbae2436ae6546bc64c78fd9c6b9,21,252,252,3024,21,420
A71EV2A-x3940a,processed/A71EV2A-x3940a.bin,9829dc5ea33731fff842e80ca186b29d21ee55c4114e38a37650f383cd6a8b9b,21,252,252,3024,21,420
A71EV2A-x3942a,processed/A71EV2A-x3942a.bin,0ee93758bd731fd0d92d53bfc03de2793b3eb5f2dd62924ef1e3fae0bb153563,21,252,252,3024,21,420
